Area_name;STCOU;INC110179F;INC110179D;INC110179N1;INC110179N2;INC110189F;INC110189D;INC110189N1;INC110189N2;INC110199F;INC110199D;INC110199N1;INC110199N2;INC110209F;INC110209D;INC110209N1;INC110209N2;INC120209F;INC120209D;INC120209N1;INC120209N2;INC140209F;INC140209D;INC140209N1;INC140209N2;INC150179F;INC150179D;INC150179N1;INC150179N2;INC150189F;INC150189D;INC150189N1;INC150189N2;INC150199F;INC150199D;INC150199N1;INC150199N2;INC150209F;INC150209D;INC150209N1;INC150209N2
UNITED STATES;00000;0;16841;0000;0000;0;30056;0000;0000;0;41994;0000;0000;0;51425;0000;0000;0;70096;0000;0000;0;112611029;0000;0000;0;23435850;0000;0000;0;14214497;0000;0000;0;10067027;0000;0000;0;8329488;0000;0000
ALABAMA;01000;0;13669;0000;0000;0;23597;0000;0000;0;34135;0000;0000;0;41216;0000;0000;0;56458;0000;0000;0;1819441;0000;0000;0;505631;0000;0000;0;337898;0000;0000;0;250526;0000;0000;0;193469;0000;0000
Autauga, AL;01001;0;16524;0000;0000;0;28337;0000;0000;0;42013;0000;0000;0;51463;0000;0000;0;62986;0000;0000;0;18288;0000;0000;0;3095;0000;0000;0;2026;0000;0000;0;1635;0000;0000;0;1261;0000;0000
Baldwin, AL;01003;0;14614;0000;0000;0;25712;0000;0000;0;40250;0000;0000;0;48918;0000;0000;0;65091;0000;0000;0;68497;0000;0000;0;9143;0000;0000;0;6275;0000;0000;0;4874;0000;0000;0;3730;0000;0000
Barbour, AL;01005;0;10058;0000;0000;0;19389;0000;0000;0;25101;0000;0000;0;32537;0000;0000;0;40998;0000;0000;0;10645;0000;0000;0;4145;0000;0000;0;2670;0000;0000;0;2425;0000;0000;0;2094;0000;0000
Bibb, AL;01007;0;12299;0000;0000;0;19775;0000;0000;0;31420;0000;0000;0;41236;0000;0000;0;49671;0000;0000;0;7525;0000;0000;0;2132;0000;0000;0;1485;0000;0000;0;1157;0000;0000;0;612;0000;0000
Blount, AL;01009;0;12657;0000;0000;0;22382;0000;0000;0;35241;0000;0000;0;45406;0000;0000;0;55028;0000;0000;0;19228;0000;0000;0;4980;0000;0000;0;3149;0000;0000;0;2377;0000;0000;0;1470;0000;0000
Bullock, AL;01011;0;8204;0000;0000;0;14745;0000;0000;0;20605;0000;0000;0;26209;0000;0000;0;43609;0000;0000;0;3929;0000;0000;0;1961;0000;0000;0;1402;0000;0000;0;1158;0000;0000;0;914;0000;0000
Butler, AL;01013;0;10206;0000;0000;0;16054;0000;0000;0;24791;0000;0000;0;31938;0000;0000;0;41486;0000;0000;0;8056;0000;0000;0;3661;0000;0000;0;2765;0000;0000;0;1809;0000;0000;0;1102;0000;0000
Calhoun, AL;01015;0;13665;0000;0000;0;23802;0000;0000;0;31768;0000;0000;0;38382;0000;0000;0;50831;0000;0000;0;47046;0000;0000;0;14810;0000;0000;0;8911;0000;0000;0;6730;0000;0000;0;5676;0000;0000
Chambers, AL;01017;0;12304;0000;0000;0;21256;0000;0000;0;29667;0000;0000;0;32433;0000;0000;0;41665;0000;0000;0;13672;0000;0000;0;5595;0000;0000;0;3421;0000;0000;0;2496;0000;0000;0;1544;0000;0000
Cherokee, AL;01019;0;12004;0000;0000;0;21368;0000;0000;0;30874;0000;0000;0;40240;0000;0000;0;48348;0000;0000;0;10261;0000;0000;0;2722;0000;0000;0;1833;0000;0000;0;1331;0000;0000;0;1043;0000;0000
Chilton, AL;01021;0;11879;0000;0000;0;21627;0000;0000;0;32588;0000;0000;0;38966;0000;0000;0;51001;0000;0000;0;16176;0000;0000;0;4546;0000;0000;0;3052;0000;0000;0;2137;0000;0000;0;1749;0000;0000
Choctaw, AL;01023;0;10134;0000;0000;0;17115;0000;0000;0;24749;0000;0000;0;30749;0000;0000;0;39342;0000;0000;0;5780;0000;0000;0;2685;0000;0000;0;1870;0000;0000;0;1268;0000;0000;0;816;0000;0000
Clarke, AL;01025;0;12091;0000;0000;0;19067;0000;0000;0;27388;0000;0000;0;27080;0000;0000;0;44734;0000;0000;0;9259;0000;0000;0;3805;0000;0000;0;2693;0000;0000;0;2030;0000;0000;0;1826;0000;0000
Clay, AL;01027;0;10984;0000;0000;0;19252;0000;0000;0;27885;0000;0000;0;37652;0000;0000;0;43909;0000;0000;0;5774;0000;0000;0;2181;0000;0000;0;1246;0000;0000;0;944;0000;0000;0;596;0000;0000
Cleburne, AL;01029;0;12782;0000;0000;0;21158;0000;0000;0;30820;0000;0000;0;33742;0000;0000;0;46766;0000;0000;0;5279;0000;0000;0;1672;0000;0000;0;1115;0000;0000;0;780;0000;0000;0;617;0000;0000
Coffee, AL;01031;0;14148;0000;0000;0;23905;0000;0000;0;33664;0000;0000;0;41973;0000;0000;0;55829;0000;0000;0;18850;0000;0000;0;4885;0000;0000;0;3265;0000;0000;0;2146;0000;0000;0;1724;0000;0000
Colbert, AL;01033;0;15445;0000;0000;0;22378;0000;0000;0;31954;0000;0000;0;39366;0000;0000;0;50835;0000;0000;0;22881;0000;0000;0;6356;0000;0000;0;4015;0000;0000;0;3264;0000;0000;0;2166;0000;0000
Conecuh, AL;01035;0;9211;0000;0000;0;15992;0000;0000;0;22111;0000;0000;0;27216;0000;0000;0;41397;0000;0000;0;5401;0000;0000;0;2902;0000;0000;0;1884;0000;0000;0;1487;0000;0000;0;875;0000;0000
Coosa, AL;01037;0;10968;0000;0000;0;20279;0000;0000;0;29873;0000;0000;0;33595;0000;0000;0;45162;0000;0000;0;4528;0000;0000;0;1825;0000;0000;0;944;0000;0000;0;711;0000;0000;0;571;0000;0000
Covington, AL;01039;0;11209;0000;0000;0;18394;0000;0000;0;26336;0000;0000;0;33278;0000;0000;0;45928;0000;0000;0;14651;0000;0000;0;6238;0000;0000;0;4233;0000;0000;0;2757;0000;0000;0;1785;0000;0000
Crenshaw, AL;01041;0;8906;0000;0000;0;16460;0000;0000;0;26054;0000;0000;0;31058;0000;0000;0;45809;0000;0000;0;5857;0000;0000;0;2740;0000;0000;0;1730;0000;0000;0;1141;0000;0000;0;984;0000;0000
Cullman, AL;01043;0;12117;0000;0000;0;21672;0000;0000;0;32256;0000;0000;0;38394;0000;0000;0;51049;0000;0000;0;30993;0000;0000;0;9026;0000;0000;0;5644;0000;0000;0;4122;0000;0000;0;3309;0000;0000
Dale, AL;01045;0;12627;0000;0000;0;24091;0000;0000;0;31998;0000;0000;0;42225;0000;0000;0;52048;0000;0000;0;19257;0000;0000;0;5694;0000;0000;0;3215;0000;0000;0;2591;0000;0000;0;1823;0000;0000
Dallas, AL;01047;0;10565;0000;0000;0;16493;0000;0000;0;23370;0000;0000;0;26442;0000;0000;0;40237;0000;0000;0;17077;0000;0000;0;8455;0000;0000;0;6152;0000;0000;0;4801;0000;0000;0;3532;0000;0000
DeKalb, AL;01049;0;11475;0000;0000;0;20135;0000;0000;0;30137;0000;0000;0;33634;0000;0000;0;45781;0000;0000;0;24999;0000;0000;0;8648;0000;0000;0;5356;0000;0000;0;3745;0000;0000;0;2736;0000;0000
Elmore, AL;01051;0;14985;0000;0000;0;26341;0000;0000;0;41243;0000;0000;0;52971;0000;0000;0;62656;0000;0000;0;25417;0000;0000;0;4691;0000;0000;0;3167;0000;0000;0;2104;0000;0000;0;1717;0000;0000
Escambia, AL;01053;0;11580;0000;0000;0;18472;0000;0000;0;28319;0000;0000;0;32321;0000;0000;0;43671;0000;0000;0;14222;0000;0000;0;5606;0000;0000;0;3770;0000;0000;0;2494;0000;0000;0;2139;0000;0000
Etowah, AL;01055;0;13320;0000;0000;0;22314;0000;0000;0;31170;0000;0000;0;36378;0000;0000;0;48817;0000;0000;0;42687;0000;0000;0;14249;0000;0000;0;8851;0000;0000;0;6145;0000;0000;0;4330;0000;0000
Fayette, AL;01057;0;11878;0000;0000;0;19844;0000;0000;0;28539;0000;0000;0;35754;0000;0000;0;42843;0000;0000;0;7414;0000;0000;0;2861;0000;0000;0;1919;0000;0000;0;1280;0000;0000;0;920;0000;0000
Franklin, AL;01059;0;12112;0000;0000;0;17907;0000;0000;0;27177;0000;0000;0;33380;0000;0000;0;44985;0000;0000;0;12372;0000;0000;0;4337;0000;0000;0;3249;0000;0000;0;2229;0000;0000;0;1393;0000;0000
Geneva, AL;01061;0;10866;0000;0000;0;20027;0000;0000;0;26448;0000;0000;0;31055;0000;0000;0;42140;0000;0000;0;10410;0000;0000;0;3988;0000;0000;0;2535;0000;0000;0;1893;0000;0000;0;1461;0000;0000
Greene, AL;01063;0;7406;0000;0000;0;11990;0000;0000;0;19819;0000;0000;0;22352;0000;0000;0;34818;0000;0000;0;3692;0000;0000;0;2049;0000;0000;0;1511;0000;0000;0;1121;0000;0000;0;807;0000;0000
Hale, AL;01065;0;8236;0000;0000;0;14508;0000;0000;0;25807;0000;0000;0;29841;0000;0000;0;38119;0000;0000;0;6263;0000;0000;0;2802;0000;0000;0;2056;0000;0000;0;1541;0000;0000;0;1092;0000;0000
Henry, AL;01067;0;11627;0000;0000;0;22130;0000;0000;0;30353;0000;0000;0;35792;0000;0000;0;45852;0000;0000;0;6312;0000;0000;0;2281;0000;0000;0;1353;0000;0000;0;1221;0000;0000;0;702;0000;0000
Houston, AL;01069;0;14075;0000;0000;0;24813;0000;0000;0;34431;0000;0000;0;41096;0000;0000;0;57036;0000;0000;0;36981;0000;0000;0;9244;0000;0000;0;6513;0000;0000;0;4868;0000;0000;0;3639;0000;0000
Jackson, AL;01071;0;13772;0000;0000;0;21910;0000;0000;0;32020;0000;0000;0;35073;0000;0000;0;44831;0000;0000;0;21352;0000;0000;0;6386;0000;0000;0;4274;0000;0000;0;3016;0000;0000;0;2709;0000;0000
Jefferson, AL;01073;0;15656;0000;0000;0;25858;0000;0000;0;36868;0000;0000;0;44718;0000;0000;0;63818;0000;0000;0;267675;0000;0000;0;81233;0000;0000;0;50226;0000;0000;0;33766;0000;0000;0;24355;0000;0000
Lamar, AL;01075;0;12695;0000;0000;0;20618;0000;0000;0;28059;0000;0000;0;31094;0000;0000;0;45745;0000;0000;0;6145;0000;0000;0;2355;0000;0000;0;1648;0000;0000;0;1113;0000;0000;0;1078;0000;0000
Lauderdale, AL;01077;0;15093;0000;0000;0;23690;0000;0000;0;33354;0000;0000;0;37691;0000;0000;0;51299;0000;0000;0;36458;0000;0000;0;9791;0000;0000;0;6627;0000;0000;0;5040;0000;0000;0;3964;0000;0000
Lawrence, AL;01079;0;12097;0000;0000;0;21519;0000;0000;0;31549;0000;0000;0;41472;0000;0000;0;49358;0000;0000;0;13587;0000;0000;0;4163;0000;0000;0;2812;0000;0000;0;2100;0000;0000;0;1193;0000;0000
Lee, AL;01081;0;11655;0000;0000;0;21227;0000;0000;0;30952;0000;0000;0;38588;0000;0000;0;53200;0000;0000;0;54137;0000;0000;0;11902;0000;0000;0;9770;0000;0000;0;9563;0000;0000;0;7938;0000;0000
Limestone, AL;01083;0;14223;0000;0000;0;26875;0000;0000;0;37405;0000;0000;0;44997;0000;0000;0;58542;0000;0000;0;26114;0000;0000;0;5424;0000;0000;0;3901;0000;0000;0;2755;0000;0000;0;1988;0000;0000
Lowndes, AL;01085;0;8383;0000;0000;0;15584;0000;0000;0;23050;0000;0000;0;30270;0000;0000;0;43273;0000;0000;0;4781;0000;0000;0;2160;0000;0000;0;1493;0000;0000;0;1362;0000;0000;0;943;0000;0000
Macon, AL;01087;0;8843;0000;0000;0;15642;0000;0000;0;21180;0000;0000;0;26305;0000;0000;0;39606;0000;0000;0;8233;0000;0000;0;4513;0000;0000;0;3055;0000;0000;0;2366;0000;0000;0;1410;0000;0000
Madison, AL;01089;0;16957;0000;0000;0;33048;0000;0000;0;44704;0000;0000;0;54979;0000;0000;0;72755;0000;0000;0;124546;0000;0000;0;18965;0000;0000;0;11829;0000;0000;0;9756;0000;0000;0;8767;0000;0000
Marengo, AL;01091;0;10494;0000;0000;0;18663;0000;0000;0;27025;0000;0000;0;30819;0000;0000;0;42443;0000;0000;0;8551;0000;0000;0;3948;0000;0000;0;2620;0000;0000;0;2036;0000;0000;0;1701;0000;0000
Marion, AL;01093;0;11964;0000;0000;0;18455;0000;0000;0;27475;0000;0000;0;32224;0000;0000;0;42434;0000;0000;0;13081;0000;0000;0;4447;0000;0000;0;3202;0000;0000;0;2149;0000;0000;0;1663;0000;0000
Marshall, AL;01095;0;12433;0000;0000;0;21458;0000;0000;0;32167;0000;0000;0;37396;0000;0000;0;50566;0000;0000;0;33073;0000;0000;0;9630;0000;0000;0;6522;0000;0000;0;4576;0000;0000;0;3868;0000;0000
Mobile, AL;01097;0;14702;0000;0000;0;22994;0000;0000;0;33710;0000;0000;0;40476;0000;0000;0;54264;0000;0000;0;155657;0000;0000;0;43313;0000;0000;0;31664;0000;0000;0;22226;0000;0000;0;18364;0000;0000
Monroe, AL;01099;0;11596;0000;0000;0;21140;0000;0000;0;29093;0000;0000;0;29810;0000;0000;0;42892;0000;0000;0;9502;0000;0000;0;3215;0000;0000;0;2281;0000;0000;0;1883;0000;0000;0;1513;0000;0000
Montgomery, AL;01101;0;14877;0000;0000;0;26551;0000;0000;0;35962;0000;0000;0;43015;0000;0000;0;61514;0000;0000;0;89589;0000;0000;0;22686;0000;0000;0;14560;0000;0000;0;11151;0000;0000;0;8505;0000;0000
Morgan, AL;01103;0;15790;0000;0000;0;28364;0000;0000;0;37803;0000;0000;0;42913;0000;0000;0;56135;0000;0000;0;46200;0000;0000;0;9910;0000;0000;0;6454;0000;0000;0;4944;0000;0000;0;4075;0000;0000
Perry, AL;01105;0;7856;0000;0000;0;13769;0000;0000;0;20200;0000;0000;0;26270;0000;0000;0;35854;0000;0000;0;4489;0000;0000;0;2678;0000;0000;0;1680;0000;0000;0;1177;0000;0000;0;731;0000;0000
Pickens, AL;01107;0;10436;0000;0000;0;17879;0000;0000;0;26254;0000;0000;0;27150;0000;0000;0;38349;0000;0000;0;8226;0000;0000;0;3385;0000;0000;0;2487;0000;0000;0;1738;0000;0000;0;1464;0000;0000
Pike, AL;01109;0;9748;0000;0000;0;17312;0000;0000;0;25551;0000;0000;0;28065;0000;0000;0;43845;0000;0000;0;12862;0000;0000;0;4823;0000;0000;0;3520;0000;0000;0;2602;0000;0000;0;2565;0000;0000
Randolph, AL;01111;0;10398;0000;0000;0;19440;0000;0000;0;28675;0000;0000;0;35137;0000;0000;0;49816;0000;0000;0;7834;0000;0000;0;3358;0000;0000;0;1981;0000;0000;0;1365;0000;0000;0;778;0000;0000
